p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
AD2019	AD2019	1	6.8394e-6	146210.3044	0	0.0086	0.005	1.0517	0.0575	1.0517	0.0575
AD2019	BIP2021	0.1266	0.0585	2.1647	0.0304	0.0715	0.0026	1.0204	0.0092	0.0065	0.0054
AD2019	LBD2020	0.3769	0.2345	1.6073	0.108	0.176	0.0798	1.0007	0.008	0.0266	0.0149
AD2019	MDD2019	0.1696	0.0676	2.5077	0.0122	0.061	0.0024	0.9942	0.0105	0.0199	0.0055
AD2019	PD2019.meta5.ex23andMe	0.1973	0.0814	2.4233	0.0154	0.0194	0.002	0.9778	0.0075	0.0121	0.0043
AD2019	SCZ2018	0.1087	0.0486	2.2345	0.0254	0.4232	0.0144	1.0515	0.012	0.0121	0.0061
BIP2021	AD2019	0.1266	0.0585	2.1647	0.0304	0.0082	0.0054	1.0556	0.0611	0.0065	0.0054
BIP2021	BIP2021	1	6.2656e-7	1596030.0952	0	0.0716	0.0028	1.02	0.0091	1.02	0.0091
BIP2021	LBD2020	-0.1158	0.0989	-1.1713	0.2415	0.133	0.0797	1.0066	0.0082	0.0081	0.0054
BIP2021	MDD2019	0.4556	0.0217	21.0209	4.2217e-98	0.0607	0.0024	0.9973	0.0101	0.0604	0.0064
BIP2021	PD2019.meta5.ex23andMe	0.0576	0.0342	1.6866	0.0917	0.0192	0.002	0.9787	0.0074	-0.0015	0.0057
BIP2021	SCZ2018	0.6925	0.0174	39.7256	0	0.4209	0.0155	1.056	0.0124	0.134	0.0078
LBD2020	AD2019	0.3769	0.2345	1.6073	0.108	0.008	0.0054	1.0564	0.0621	0.0266	0.0149
LBD2020	BIP2021	-0.1158	0.0989	-1.1713	0.2415	0.0723	0.0027	1.0205	0.0093	0.0081	0.0054
LBD2020	LBD2020	1	8.9832e-6	111318.1449	0	0.156	0.0807	1.0039	0.0082	1.0039	0.0082
LBD2020	MDD2019	-0.004	0.084	-0.0478	0.9619	0.0614	0.0025	0.9917	0.0106	4e-4	0.0054
LBD2020	PD2019.meta5.ex23andMe	0.6238	0.1692	3.6869	2e-4	0.0193	0.002	0.9797	0.0076	0.0127	0.0046
LBD2020	SCZ2018	-0.0312	0.0755	-0.4134	0.6793	0.4211	0.0144	1.0543	0.0114	0.0068	0.0061
MDD2019	AD2019	0.1696	0.0676	2.5077	0.0122	0.0084	0.0052	1.0525	0.0592	0.0199	0.0055
MDD2019	BIP2021	0.4556	0.0217	21.0209	4.2217e-98	0.0719	0.0026	1.0176	0.009	0.0604	0.0064
MDD2019	LBD2020	-0.004	0.084	-0.0478	0.9619	0.1828	0.0825	1	0.0087	4e-4	0.0054
MDD2019	MDD2019	1	3.4462e-9	290170000	0	0.0608	0.0024	0.9946	0.0103	0.9946	0.0103
MDD2019	PD2019.meta5.ex23andMe	-0.0135	0.0334	-0.4029	0.687	0.0192	0.002	0.979	0.0075	0.0043	0.0056
MDD2019	SCZ2018	0.3289	0.0216	15.236	2.0393e-52	0.4214	0.0147	1.0546	0.0118	0.037	0.0078
PD2019.meta5.ex23andMe	AD2019	0.1973	0.0814	2.4233	0.0154	0.0083	0.0051	1.054	0.0588	0.0121	0.0043
PD2019.meta5.ex23andMe	BIP2021	0.0576	0.0342	1.6866	0.0917	0.0717	0.0026	1.0194	0.0091	-0.0015	0.0057
PD2019.meta5.ex23andMe	LBD2020	0.6238	0.1692	3.6869	2e-4	0.1697	0.0833	1.0018	0.0087	0.0127	0.0046
PD2019.meta5.ex23andMe	MDD2019	-0.0135	0.0334	-0.4029	0.687	0.0607	0.0024	0.9956	0.0102	0.0043	0.0056
PD2019.meta5.ex23andMe	PD2019.meta5.ex23andMe	1	1.1616e-7	8608520.3621	0	0.0193	0.0019	0.9787	0.0073	0.9787	0.0073
PD2019.meta5.ex23andMe	SCZ2018	0.0239	0.0307	0.7777	0.4367	0.4214	0.0145	1.0544	0.0116	0.003	0.0058
SCZ2018	AD2019	0.1087	0.0486	2.2345	0.0254	0.0083	0.0054	1.0562	0.0624	0.0121	0.0061
SCZ2018	BIP2021	0.6925	0.0174	39.7256	0	0.0718	0.0028	1.0178	0.0096	0.134	0.0078
SCZ2018	LBD2020	-0.0312	0.0755	-0.4134	0.6793	0.16	0.0827	1.0031	0.0084	0.0068	0.0061
SCZ2018	MDD2019	0.3289	0.0216	15.236	2.0393e-52	0.0605	0.0025	0.9985	0.0103	0.037	0.0078
SCZ2018	PD2019.meta5.ex23andMe	0.0239	0.0307	0.7777	0.4367	0.019	0.0018	0.9796	0.0073	0.003	0.0058
SCZ2018	SCZ2018	1	1.8166e-8	55047950.1835	0	0.4217	0.015	1.0533	0.0121	1.0533	0.0121
