AD2019 BIP2021 LBD2020 MDD2019 PD2019.meta5.ex23andMe SCZ2018 EQTLGEN_ENSG00000007047 EQTLGEN_ENSG00000007255 EQTLGEN_ENSG00000041353 EQTLGEN_ENSG00000048028 EQTLGEN_ENSG00000069399 EQTLGEN_ENSG00000073008 EQTLGEN_ENSG00000086827 EQTLGEN_ENSG00000104853 EQTLGEN_ENSG00000104856 EQTLGEN_ENSG00000104859 EQTLGEN_ENSG00000104866 EQTLGEN_ENSG00000104879 EQTLGEN_ENSG00000104881 EQTLGEN_ENSG00000104884 EQTLGEN_ENSG00000104892 EQTLGEN_ENSG00000120885 EQTLGEN_ENSG00000130201 EQTLGEN_ENSG00000130202 EQTLGEN_ENSG00000130203 EQTLGEN_ENSG00000130204 EQTLGEN_ENSG00000134014 EQTLGEN_ENSG00000138722 EQTLGEN_ENSG00000142252 EQTLGEN_ENSG00000145335 EQTLGEN_ENSG00000147419 EQTLGEN_ENSG00000149292 EQTLGEN_ENSG00000149294 EQTLGEN_ENSG00000149305 EQTLGEN_ENSG00000166682 EQTLGEN_ENSG00000166736 EQTLGEN_ENSG00000168078 EQTLGEN_ENSG00000168079 EQTLGEN_ENSG00000168081 EQTLGEN_ENSG00000170209 EQTLGEN_ENSG00000170684 EQTLGEN_ENSG00000171320 EQTLGEN_ENSG00000179846 EQTLGEN_ENSG00000184305 EQTLGEN_ENSG00000186567 EQTLGEN_ENSG00000186918 EQTLGEN_ENSG00000187244 EQTLGEN_ENSG00000189114 EQTLGEN_ENSG00000189233 EQTLGEN_ENSG00000196628 EQTLGEN_ENSG00000216588 EQTLGEN_ENSG00000267114 EQTLGEN_ENSG00000267348 PSYCHENCODE_ENSG00000007047 PSYCHENCODE_ENSG00000007255 PSYCHENCODE_ENSG00000041353 PSYCHENCODE_ENSG00000048028 PSYCHENCODE_ENSG00000069399 PSYCHENCODE_ENSG00000073008 PSYCHENCODE_ENSG00000086827 PSYCHENCODE_ENSG00000104853 PSYCHENCODE_ENSG00000104856 PSYCHENCODE_ENSG00000104859 PSYCHENCODE_ENSG00000104866 PSYCHENCODE_ENSG00000104879 PSYCHENCODE_ENSG00000104881 PSYCHENCODE_ENSG00000104884 PSYCHENCODE_ENSG00000104892 PSYCHENCODE_ENSG00000120885 PSYCHENCODE_ENSG00000130201 PSYCHENCODE_ENSG00000130202 PSYCHENCODE_ENSG00000130203 PSYCHENCODE_ENSG00000130204 PSYCHENCODE_ENSG00000130208 PSYCHENCODE_ENSG00000134014 PSYCHENCODE_ENSG00000138722 PSYCHENCODE_ENSG00000142252 PSYCHENCODE_ENSG00000142273 PSYCHENCODE_ENSG00000145335 PSYCHENCODE_ENSG00000147419 PSYCHENCODE_ENSG00000149292 PSYCHENCODE_ENSG00000149294 PSYCHENCODE_ENSG00000149295 PSYCHENCODE_ENSG00000149305 PSYCHENCODE_ENSG00000166510 PSYCHENCODE_ENSG00000166682 PSYCHENCODE_ENSG00000166736 PSYCHENCODE_ENSG00000168077 PSYCHENCODE_ENSG00000168078 PSYCHENCODE_ENSG00000168079 PSYCHENCODE_ENSG00000168081 PSYCHENCODE_ENSG00000170209 PSYCHENCODE_ENSG00000170684 PSYCHENCODE_ENSG00000171320 PSYCHENCODE_ENSG00000179846 PSYCHENCODE_ENSG00000184305 PSYCHENCODE_ENSG00000186567 PSYCHENCODE_ENSG00000186918 PSYCHENCODE_ENSG00000187244 PSYCHENCODE_ENSG00000189114 PSYCHENCODE_ENSG00000189233 PSYCHENCODE_ENSG00000196628 PSYCHENCODE_ENSG00000206129 PSYCHENCODE_ENSG00000214050 PSYCHENCODE_ENSG00000216588 PSYCHENCODE_ENSG00000224916 PSYCHENCODE_ENSG00000227487 PSYCHENCODE_ENSG00000228607 PSYCHENCODE_ENSG00000234906 PSYCHENCODE_ENSG00000247416 PSYCHENCODE_ENSG00000247775 PSYCHENCODE_ENSG00000251095 PSYCHENCODE_ENSG00000253567 PSYCHENCODE_ENSG00000253690 PSYCHENCODE_ENSG00000253875 PSYCHENCODE_ENSG00000255129 PSYCHENCODE_ENSG00000256452 PSYCHENCODE_ENSG00000256603 PSYCHENCODE_ENSG00000260930 PSYCHENCODE_ENSG00000266903 PSYCHENCODE_ENSG00000266958 PSYCHENCODE_ENSG00000267013 PSYCHENCODE_ENSG00000267028 PSYCHENCODE_ENSG00000267037 PSYCHENCODE_ENSG00000267044 PSYCHENCODE_ENSG00000267045 PSYCHENCODE_ENSG00000267057 PSYCHENCODE_ENSG00000267114 PSYCHENCODE_ENSG00000267282 PSYCHENCODE_ENSG00000267284 PSYCHENCODE_ENSG00000267311 PSYCHENCODE_ENSG00000267325 PSYCHENCODE_ENSG00000267327 PSYCHENCODE_ENSG00000267348 PSYCHENCODE_ENSG00000267399 PSYCHENCODE_ENSG00000267402 PSYCHENCODE_ENSG00000267467 PSYCHENCODE_ENSG00000267545 PSYCHENCODE_ENSG00000267712 PSYCHENCODE_ENSG00000268341
AD2019 1 0.00628 0.02589 0.01946 0.01193 0.0115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BIP2021 0.00628 1 0.008 0.05997 -0.0015 0.12928 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LBD2020 0.02589 0.008 1 4e-04 0.01281 0.00661 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MDD2019 0.01946 0.05997 4e-04 1 0.00436 0.03615 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PD2019.meta5.ex23andMe 0.01193 -0.0015 0.01281 0.00436 1 0.00295 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SCZ2018 0.0115 0.12928 0.00661 0.03615 0.00295 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
EQTLGEN_ENSG00000007047 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
EQTLGEN_ENSG00000007255 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
EQTLGEN_ENSG00000041353 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
EQTLGEN_ENSG00000048028 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
